LotNO,target,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43
1,138,6210,8970,10074,814200,39.57916673,8556,8569.8,151.8,1697.4,102.12,1283.4,103500,66.24,64.86,66.24,12696,14490,400.2,5520,6168.6,26082,924.6,0,138,0,-7590,111.78,37260,371.22,223.56,88.596,153.18,378.12,262.2,56.442,1012,27600,2208,966,0,1242,0,3220
2,136.62,6210,8280,10074,814200,39.675,8556,8266.2,151.8,1697.4,102.12,1283.4,103500,66.24,64.86,66.24,12696,14490,400.2,5520,6168.6,26082,924.6,0,138,0,-7590,111.78,37260,371.22,223.56,88.596,153.18,378.12,262.2,56.442,1012,27600,2208,966,0,1242,0,3220
3,136.62,6210,8970,9936,814200,40.25000005,8556,8473.2,151.8,1697.4,102.12,1283.4,103500,66.24,64.86,66.24,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,111.78,37260,371.22,223.56,88.596,153.18,378.12,262.2,56.442,1012,27600,2208,966,0,1242,0,3220
4,136.62,6210,11040,9936,814200,39.86666668,8556,8280,151.8,1697.4,102.12,1283.4,103500,66.24,64.86,66.24,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,111.78,37260,371.22,223.56,88.596,153.18,378.12,262.2,56.442,1012,27600,2208,966,0,1242,0,3220
5,136.62,6210,9660,9936,814200,40.34583332,8418,8500.8,151.8,1697.4,102.12,1283.4,103500,66.24,64.86,66.24,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,111.78,37260,371.22,223.56,88.596,153.18,378.12,262.2,56.442,1012,27600,2208,966,0,1242,0,3220
6,139.38,6210,9660,9936,814200,40.5375,8418,8266.2,138,1697.4,102.12,1283.4,103500,66.24,64.86,66.24,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,110.4,38226,375.36,223.56,89.7,153.18,376.74,258.06,54.786,1288,27600,2254,1104,0,1334,0,3680
7,138,6210,12420,9936,814200,40.63333327,8418,8556,151.8,1697.4,102.12,1283.4,103500,66.24,64.86,66.24,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,110.4,38226,375.36,223.56,89.7,153.18,376.74,258.06,54.786,1288,27600,2254,1104,0,1334,0,3680
8,136.62,6210,8280,9936,814200,40.44166673,8418,8349,138,1697.4,102.12,1283.4,103500,66.24,64.86,66.24,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,110.4,38226,375.36,223.56,89.7,153.18,376.74,258.06,54.786,1288,27600,2254,1104,0,1334,0,3680
9,135.24,6624,8280,7452,814200,40.15416664,7576.2,8983.8,197.34,1752.6,85.56,1269.6,96600,53.82,57.96,49.68,12696,14490,400.2,5520,6168.6,26082,924.6,0,138,0,-7590,110.4,39606,378.12,223.56,87.906,149.04,362.94,253.92,55.338,276,26680,2254,966,0,1334,0,3312
10,136.62,6624,11040,7452,814200,40.34583332,6900,9094.2,186.3,1752.6,85.56,1269.6,96600,53.82,57.96,49.68,12696,14490,400.2,5520,6168.6,26082,924.6,0,138,0,-7590,110.4,39606,378.12,223.56,87.906,149.04,362.94,253.92,55.338,276,26680,2254,966,0,1334,0,3312
11,136.62,6624,8280,7452,814200,40.5375,6886.2,8914.8,184.92,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6168.6,26082,924.6,0,138,0,-7590,110.4,39606,378.12,223.56,87.906,149.04,362.94,253.92,55.338,276,26680,2254,966,0,1334,0,3312
12,136.62,6624,11040,7452,814200,40.34583332,6624,9080.4,189.06,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6168.6,26082,924.6,0,138,0,-7590,110.4,39606,378.12,223.56,87.906,149.04,362.94,253.92,55.338,276,26680,2254,966,0,1334,0,3312
13,136.62,6624,11040,7452,814200,40.72916668,6665.4,8873.4,182.16,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6168.6,26082,924.6,0,138,0,-7590,110.4,39606,378.12,223.56,87.906,149.04,362.94,253.92,55.338,276,26680,2254,966,0,1334,0,3312
14,135.24,6210,20700,8280,814200,40.92083336,7603.8,9011.4,180.78,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6168.6,26082,924.6,0,138,0,-7590,110.4,37260,369.84,223.56,87.492,149.04,373.98,264.96,55.89,1196,27600,2208,966,0,1242,0,3266
15,135.24,6210,13110,8280,814200,41.68749995,7645.2,8749.2,182.16,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6168.6,26082,924.6,0,138,0,-7590,110.4,37260,369.84,223.56,87.492,149.04,373.98,264.96,55.89,1196,27600,2208,966,0,1242,0,3266
16,138,6210,18630,8280,814200,41.01666664,7603.8,8845.8,178.02,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6168.6,26082,924.6,0,138,0,-7590,110.4,37260,369.84,223.56,87.492,149.04,373.98,264.96,55.89,1196,27600,2208,966,0,1242,0,3266
17,135.24,6210,9660,8280,814200,6133727.592,7672.8,8818.2,179.4,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,110.4,37260,367.08,224.94,88.596,151.8,378.12,263.58,56.58,552,28520,2116,966,0,1242,0,3220
18,135.24,6210,10350,8280,814200,41.68749995,7548.6,8763,175.26,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,110.4,37260,367.08,224.94,88.596,151.8,378.12,263.58,56.58,552,28520,2116,966,0,1242,0,3220
19,136.62,6210,12420,8280,814200,41.01666664,7617.6,8887.2,176.64,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,110.4,37260,367.08,224.94,88.596,151.8,378.12,263.58,56.58,552,28520,2116,966,0,1242,0,3220
20,135.24,6210,8970,8280,814200,41.68749995,7548.6,8694,172.5,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,110.4,37260,367.08,224.94,88.596,151.8,378.12,263.58,56.58,552,28520,2116,966,0,1242,0,3220
21,136.62,6210,13110,8280,814200,40.92083336,7576.2,8859.6,175.26,1752.6,102.12,1200.6,103500,63.48,60.72,60.72,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,110.4,37260,367.08,224.94,88.596,151.8,378.12,263.58,56.58,552,28520,2116,966,0,1242,0,3220
22,138,7038,11040,6900,814200,39.09999995,6403.2,8970,172.5,1780.2,78.66,1200.6,110400,60.72,57.96,62.1,12696,14490,400.2,5520,6154.8,25806,924.6,0,138,0,-7590,113.16,39054,365.7,223.56,90.804,157.32,379.5,252.54,53.544,460,27600,2346,966,0,1150,0,4048
23,136.62,6210,9660,9798,814200,40.72916668,8556,8611.2,138,1766.4,84.18,1255.8,75900,45.54,44.16,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,110.4,38226,375.36,223.56,89.7,153.18,376.74,258.06,54.786,1288,27600,2254,1104,0,1334,0,3680
24,135.24,6210,9660,9798,814200,41.30416673,8418,8224.8,138,1766.4,84.18,1255.8,75900,45.54,44.16,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,110.4,38226,375.36,223.56,89.7,153.18,376.74,258.06,54.786,1288,27600,2254,1104,0,1334,0,3680
25,135.24,7038,11040,8004,814200,39.96249995,8280,8914.8,138,1766.4,84.18,1255.8,75900,45.54,44.16,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,104.88,38226,361.56,223.56,90.666,157.32,375.36,251.16,53.268,1012,26680,2392,920,0,1794,0,3680
26,135.24,7038,8280,8004,814200,40.44166673,7866,8694,138,1766.4,84.18,1255.8,75900,45.54,44.16,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,104.88,38226,361.56,223.56,90.666,157.32,375.36,251.16,53.268,1012,26680,2392,920,0,1794,0,3680
27,136.62,7038,11040,8004,814200,40.15416664,7866,8997.6,138,1766.4,84.18,1255.8,75900,45.54,44.16,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,104.88,38226,361.56,223.56,90.666,157.32,375.36,251.16,53.268,1012,26680,2392,920,0,1794,0,3680
28,136.62,7038,8280,8004,814200,40.05833336,7866,8666.4,138,1766.4,84.18,1255.8,75900,45.54,44.16,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,104.88,38226,361.56,223.56,90.666,157.32,375.36,251.16,53.268,1012,26680,2392,920,0,1794,0,3680
29,135.24,6210,8280,8280,814200,41.78333336,7631.4,8818.2,189.06,1669.8,121.44,1283.4,117300,73.14,73.14,73.14,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,110.4,37260,369.84,223.56,87.492,149.04,373.98,264.96,55.89,1196,27600,2208,966,0,1242,0,3266
30,132.48,6210,8280,8280,814200,42.2625,9135.6,8542.2,184.92,1669.8,121.44,1283.4,117300,73.14,73.14,73.14,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,110.4,37260,369.84,223.56,87.492,149.04,373.98,264.96,55.89,1196,27600,2208,966,0,1242,0,3266
31,135.24,7038,8280,6624,814200,41.11250005,6210,9094.2,189.06,1669.8,121.44,1283.4,117300,73.14,73.14,73.14,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,107.64,37674,367.08,223.56,91.77,160.08,382.26,251.16,52.992,1380,26680,2484,828,0,1748,0,3772
32,133.86,7038,8280,6624,814200,41.01666664,6210,8763,186.3,1669.8,121.44,1283.4,117300,73.14,73.14,73.14,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,107.64,37674,367.08,223.56,91.77,160.08,382.26,251.16,52.992,1380,26680,2484,828,0,1748,0,3772
33,135.24,7038,11040,6486,814200,41.20833332,6306.6,9039,189.06,1683.6,96.6,1255.8,75900,48.3,49.68,46.92,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,107.64,37674,367.08,223.56,91.77,160.08,382.26,251.16,52.992,1380,26680,2484,828,0,1748,0,3772
34,136.62,7038,8280,7866,814200,40.72916668,8280,9080.4,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,104.88,38226,361.56,223.56,90.666,157.32,375.36,251.16,53.268,1012,26680,2392,920,0,1794,0,3680
35,135.24,7038,9660,7866,814200,40.92083336,7728,8776.8,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,104.88,38226,357.42,224.94,90.528,157.32,373.98,248.4,54.51,828,28520,2484,966,0,1978,0,3634
36,136.62,7038,8280,7866,814200,40.82499995,7452,8914.8,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,104.88,38226,357.42,224.94,90.528,157.32,373.98,248.4,54.51,828,28520,2484,966,0,1978,0,3634
37,138,7038,8280,7866,814200,40.63333327,7176,8680.2,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,104.88,38226,357.42,224.94,90.528,157.32,373.98,248.4,54.51,828,28520,2484,966,0,1978,0,3634
38,136.62,7038,8280,7866,814200,40.15416664,7452,8873.4,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6154.8,24840,924.6,0,138,0,-7590,104.88,38226,357.42,224.94,90.528,157.32,373.98,248.4,54.51,828,28520,2484,966,0,1978,0,3634
39,138,7038,8280,7866,814200,40.5375,7176,8707.8,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,104.88,38226,357.42,224.94,90.528,157.32,373.98,248.4,54.51,828,28520,2484,966,0,1978,0,3634
40,135.24,7038,10350,7866,814200,40.63333327,7452,8956.2,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,104.88,39054,351.9,224.94,91.494,160.08,379.5,248.4,54.51,460,27600,2484,966,0,1932,0,3404
41,136.62,7038,7590,7866,814200,40.34583332,7452,8652.6,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,104.88,39054,351.9,224.94,91.494,160.08,379.5,248.4,54.51,460,27600,2484,966,0,1932,0,3404
42,138,7038,10350,7866,814200,40.63333327,7452,8956.2,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,104.88,39054,351.9,224.94,91.494,160.08,379.5,248.4,54.51,460,27600,2484,966,0,1932,0,3404
43,136.62,7038,8280,7866,814200,40.5375,7176,8694,138,1725,86.94,1283.4,75900,59.34,56.58,51.06,12696,14490,400.2,5520,6168.6,24426,924.6,0,138,0,-7590,104.88,39054,351.9,224.94,91.494,160.08,379.5,248.4,54.51,460,27600,2484,966,0,1932,0,3404
